Description,Link,Price,Quantity Required
10M-1.5 50mm Hex Bolt,https://www.amazon.com/Blue-Chromate-External-Partially-Threaded-M10-1-5/dp/B00A30L1MS/ref=sr_1_6?fst=as%3Aoff&qid=1580075076&refinements=p_n_feature_two_browse-bin%3A2292868011%2Cp_n_feature_twenty-eight_browse-bin%3A19043927011%2Cp_n_feature_fourteen_browse-bin%3A11434075011&rnid=11433942011&s=industrial&sr=1-6&th=1,$1.13,1
Neodymium Magnets,https://www.amazon.com/ELECFIND-Magnets-Magnet-Refrigerator-Permanent/dp/B07DD4QWXS/ref=sr_1_3?keywords=Neodymium%2BMagnets%2B10mm%2Bx%2B3mm&qid=1580075271&s=industrial&sr=1-3&th=1,$9.99,1
